[log (28/03/17 17:01:12)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (28/03/17 17:01:13)]  TYPE "putty#ENTER."
[log (28/03/17 17:01:14)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (28/03/17 17:01:17)]  TYPE "OPTIMUS#TAB."
[log (28/03/17 17:01:17)]  TYPE "1234#ENTER."
[log (28/03/17 17:01:18)]  TYPE "2313#ENTER."
[log (28/03/17 17:01:19)]  TYPE "A900000205#ENTER."
[log (28/03/17 17:01:21)]  TYPE "#ENTER."
[log (28/03/17 17:01:22)]  TYPE "#F4."
[log (28/03/17 17:01:22)]  TYPE "PRINTER1#ENTER."
[log (28/03/17 17:01:24)]  TYPE "#ENTER."
[log (28/03/17 17:01:24)]  TYPE "#DOWN."
[log (28/03/17 17:01:24)]  TYPE "#DOWN."
[log (28/03/17 17:01:24)]  TYPE "1c "
[log (28/03/17 17:01:25)]  TYPE "#ENTER."
[log (28/03/17 17:01:25)]  TYPE "20001311#ENTER."
[log (28/03/17 17:01:27)]  TYPE "8004111778563#ENTER."
[log (28/03/17 17:01:28)]  TYPE "#ENTER."
[log (28/03/17 17:01:28)]  TYPE "#DOWN."
[log (28/03/17 17:01:29)]  TYPE "#DOWN."
[log (28/03/17 17:01:29)]  TYPE "1c "
[log (28/03/17 17:01:29)]  TYPE "#ENTER."
[log (28/03/17 17:01:30)]  TYPE "20001311#ENTER."
[log (28/03/17 17:01:31)]  TYPE "8004111778571#ENTER."
[log (28/03/17 17:01:32)]  TYPE "#ENTER."
[log (28/03/17 17:01:33)]  TYPE "0411#ENTER."
[log (28/03/17 17:01:34)]  TYPE "#ENTER."
[log (28/03/17 17:01:35)]  TYPE "0411#ENTER."
[log (28/03/17 17:01:36)]  TYPE "#ENTER."
[log (28/03/17 17:01:37)]  TYPE "#F4."
[log (28/03/17 17:01:37)]  TYPE "PRINTER1#ENTER."
[log (28/03/17 17:01:39)]  TYPE "#ENTER."
[log (28/03/17 17:01:39)]  TYPE "#DOWN."
[log (28/03/17 17:01:39)]  TYPE "#DOWN."
[log (28/03/17 17:01:39)]  TYPE "1c "
[log (28/03/17 17:01:40)]  TYPE "#ENTER."
[log (28/03/17 17:01:40)]  TYPE "20001311#ENTER."
[log (28/03/17 17:01:42)]  TYPE "8004111778597#ENTER."
[log (28/03/17 17:01:43)]  TYPE "#ENTER."
[log (28/03/17 17:01:44)]  TYPE "#DOWN."
[log (28/03/17 17:01:44)]  TYPE "#DOWN."
[log (28/03/17 17:01:44)]  TYPE "1c "
[log (28/03/17 17:01:44)]  TYPE "#ENTER."
[log (28/03/17 17:01:45)]  TYPE "20001311#ENTER."
[log (28/03/17 17:01:46)]  TYPE "8004111778613#ENTER."
[log (28/03/17 17:01:47)]  TYPE "#ENTER."
[log (28/03/17 17:01:48)]  TYPE "0411#ENTER."
[log (28/03/17 17:01:49)]  TYPE "#ENTER."
[log (28/03/17 17:01:50)]  TYPE "0411#ENTER."
[log (28/03/17 17:01:51)]  TYPE "A900000206#ENTER."
[log (28/03/17 17:01:52)]  TYPE "#ENTER."
[log (28/03/17 17:01:53)]  TYPE "#F4."
[log (28/03/17 17:01:54)]  TYPE "PRINTER1#ENTER."
[log (28/03/17 17:01:56)]  TYPE "#ENTER."
[log (28/03/17 17:01:56)]  TYPE "#DOWN."
[log (28/03/17 17:01:56)]  TYPE "#DOWN."
[log (28/03/17 17:01:56)]  TYPE "1c "
[log (28/03/17 17:01:57)]  TYPE "#ENTER."
[log (28/03/17 17:01:57)]  TYPE "20001311#ENTER."
[log (28/03/17 17:01:58)]  TYPE "8004111778829#ENTER."
